user_id,business_id,stars
PfpRvMAESbC2bC8FUIMdNg,Kbbm6Vd5UdbP10dwjBghRw,3.265691056901285
oaaEXgQ3x51cXE3GTXrT1Q,2GmGT-7QjowR1ihup3FbVA,3.416191149422647
yT_QCcnq-QGipWWuzIpvtw,pOEL97ld-FJMKO8Ki8JmYg,2.2734797006569165
fRVNHAl2RjosC67Y67G3cA,UkWme3kwg6L9rd4tCNB15w,2.983269760536334
48vRThjhuhiSQINQ2KV8Sw,LNGBEEelQx4zbfWnlc66cw,4.93932811005295
q5FQmuXxzPEsvEtA_Mvd1w,fSBhe0A6Dfa8JCYccfpMog,3.18003854779339
W0VE9M7Dikrpol8j1_QqyQ,3oTVApC-eUzpGjrOVxIr5g,3.622992169180295
avmRUkWovTsaDqKiNKdivQ,wUKzaS1MHg94RGM6z8u9mw,3.902647218939035
NjLRgbRZiwEIMpAgXypJtw,cTZmf7B-4yciMc1WKiCVOA,3.016201102952209
76vIFZcC7owykCBjMfGVXg,KkmPDIWzvwbBpyqOHT6pcQ,2.4549641985235278
ERcsc0YO5CCUbkC8EV2INg,hDyc9DdjGldhxis5E1rd3w,2.732922553586562
FOoN3DJzDUnl4EAQaTJIGg,dEAk-gE-5Q95a7p91gNn8A,3.487361074777149
_VMGbmIeK71rQGwOBWt_Kg,beuVp5CZxCdNvQIIPBS2rw,4.644349933024342
veeaBpjDwo-xfHSz3z3PWg,Q0EZmATxDphzRMszNV2LVg,3.169065793620767
1i3WvtGsIW8FGOFLvHHFMw,xjjxHavx4RIiW6zS6rasGA,2.964657798217068
WXDj6mmyrJi5q5nHKJ6H7w,2LNnIARy-lGmrlEMZSxZ1w,2.8630368047612653
UrQw8IyTOAAlokN-SMK3_Q,LVLctMJ018ShlsFkIuYGTg,2.754104479339089
ciXjBfJrAEteIKpzZg4I9g,WCqcYtJ4rUxA4bIzjOfzqg,3.17892290722943
Znid_azpcHmdRMHGicmkWA,XwmJBX-BMUq47zYaUeYjug,2.5398112179484933
4V6vZgVCfEfYwXFK3tnTQQ,RrCgc8eAKbHu-2IpQXg6Rw,3.721946364496211
6GT6kAIyCT9MA7y1ZN_PUw,8-_jXGGDFPFAPB4r1x-81w,2.989258116407636
pWEzY3YY0zEAJLlGSSucrQ,VfFHPsPtTW4Mgx0eHDyJiQ,2.034787236810478
nXMMoDzXRByQiWH9cf-FAQ,URFhSrJPk7JM2pUtsuWsAg,3.758073258181127
LDu8Kn3k1CZHY5sEq3bLPQ,-LzUYsR54hd8cCiYXTquRA,2.817573263071613
niKu4se6xtf-ctlm0udr1w,mnwRtuVQEsIUomBchu0gwg,3.2356532779164504
1sGYXSkJHPhJ6wQtc-RbZw,dg5cg298SXZVMo4ZEwSUtg,4.279327064909336
22dqLO1If5t3j06a2gd7lA,9a3DrZvpYxVs3k_qwlCNSw,3.7589451510386986
owlUazXSDLaxlOV7z8181g,kbaXNZLUyVuWbeQxH-NNKw,3.9710366738517346
TprC8sujz8MkwuomrqUSiw,P7pxQFqr7yBKMMI2J51udw,3.9835153589744587
ACMYTmlycF2-HgSZ8lyC0A,S599hCA4kJJO3_b6SRFKoA,4.231774095502109
bhJ6ivAuSpgXP4JiKWjSZQ,W2CzAePJakvARgoQuohbOA,4.1082635342871665
TdYKJgSgY2GF_YJnwsi5yQ,So132GP_uy3XbGs0KNyzyw,3.1289340309733698
y3FcL4bLy0eLlkb0SDPnBQ,UYh1N1xQhOh-a7nX92xPzQ,4.37037031564923
TUOj8sUc4eyEe35ZUZN4ZQ,w12x7UBSSRsdbp3ZqguG3Q,3.187250696814492
3nDUQBjKyVor5wV0reJChg,gJd1jOcl5FdqY020Q19n6Q,4.351008687253649
5Wg5OanfZ4-2dCxEo-qjsw,UYh1N1xQhOh-a7nX92xPzQ,3.0928380306316523
-C-l8EHSLXtZZVfUAUhsPA,p8HvhJZ-_EHhmUVmZN15gg,2.1436781607374407
v3YOx9T4jRSw8XP9Rd9H4g,qqs7LP4TXAoOrSlaKRfz3A,4.4558669418906645
