Date,Open,High,Low,Close,Volume,Adj Close
2017-01-03,115.800003,116.330002,114.760002,116.150002,28781900,115.648597
2017-01-04,115.849998,116.510002,115.75,116.019997,21118100,115.519154
2017-01-05,115.919998,116.860001,115.809998,116.610001,22193600,116.106611
2017-01-06,116.779999,118.160004,116.470001,117.910004,31751900,117.401002
2017-01-09,117.949997,119.43,117.940002,118.989998,33561900,118.476334
2017-01-10,118.769997,119.379997,118.300003,119.110001,24462100,118.595819
2017-01-11,118.739998,119.93,118.599998,119.75,27588600,119.233055
2017-01-12,118.900002,119.300003,118.209999,119.25,27086200,118.735214
2017-01-13,119.110001,119.620003,118.809998,119.040001,26111900,118.526121
2017-01-17,118.339996,120.239998,118.220001,120.0,34439800,119.481976
2017-01-18,120.0,120.5,119.709999,119.989998,23713000,119.472017
2017-01-19,119.400002,120.089996,119.370003,119.779999,25597300,119.262925
2017-01-20,120.449997,120.449997,119.730003,120.0,32597900,119.481976
2017-01-23,120.0,120.809998,119.769997,120.080002,22050200,119.561633
2017-01-24,119.550003,120.099998,119.5,119.970001,23211000,119.452107
2017-01-25,120.419998,122.099998,120.279999,121.879997,32377600,121.353858
2017-01-26,121.669998,122.440002,121.599998,121.940002,26337600,121.413604
2017-01-27,122.139999,122.349998,121.599998,121.949997,20562900,121.423555
2017-01-30,120.93,121.629997,120.660004,121.629997,30377500,121.104937
2017-01-31,121.150002,121.389999,120.620003,121.349998,49201000,120.826147
2017-02-01,127.029999,130.490005,127.010002,128.75,111985000,128.194203
2017-02-02,127.980003,129.389999,127.779999,128.529999,33710400,127.975152
2017-02-03,128.309998,129.190002,128.160004,129.080002,24507300,128.522781
2017-02-06,129.130005,130.5,128.899994,130.289993,26845900,129.727549
2017-02-07,130.539993,132.089996,130.449997,131.529999,38183800,130.962201
2017-02-08,131.350006,132.220001,131.220001,132.039993,23004100,131.469994
2017-02-09,131.649994,132.449997,131.119995,132.419998,28349900,132.419998
2017-02-10,132.460007,132.940002,132.050003,132.119995,20065500,132.119995
2017-02-13,133.080002,133.820007,132.75,133.289993,23035400,133.289993
2017-02-14,133.470001,135.089996,133.25,135.020004,33226200,135.020004
2017-02-15,135.520004,136.270004,134.619995,135.509995,35623100,135.509995
2017-02-16,135.669998,135.899994,134.839996,135.350006,22584600,135.350006
2017-02-17,135.100006,135.830002,135.100006,135.720001,22198200,135.720001
2017-02-21,136.229996,136.75,135.979996,136.699997,24507200,136.699997
2017-02-22,136.429993,137.119995,136.110001,137.110001,20836900,137.110001
2017-02-23,137.380005,137.479996,136.300003,136.529999,20788200,136.529999
2017-02-24,135.910004,136.660004,135.279999,136.660004,21776600,136.660004
2017-02-27,137.139999,137.440002,136.279999,136.929993,20257400,136.929993
2017-02-28,137.080002,137.440002,136.699997,136.990005,23482900,136.990005
2017-03-01,137.889999,140.149994,137.600006,139.789993,36414600,139.789993
2017-03-02,140.0,140.279999,138.759995,138.960007,26211000,138.960007
2017-03-03,138.779999,139.830002,138.589996,139.779999,21108100,139.779999
2017-03-06,139.369995,139.770004,138.600006,139.339996,21750000,139.339996
2017-03-07,139.059998,139.979996,138.789993,139.520004,17446300,139.520004
2017-03-08,138.949997,139.800003,138.820007,139.0,18707200,139.0
2017-03-09,138.740005,138.789993,137.050003,138.679993,22155900,138.679993
2017-03-10,139.25,139.360001,138.639999,139.139999,19612800,139.139999
2017-03-13,138.850006,139.429993,138.820007,139.199997,17421700,139.199997
2017-03-14,139.300003,139.649994,138.839996,138.990005,15309100,138.990005
2017-03-15,139.410004,140.75,139.029999,140.460007,25691800,140.460007
2017-03-16,140.720001,141.020004,140.259995,140.690002,19232000,140.690002
2017-03-17,141.0,141.0,139.889999,139.990005,43885000,139.990005
2017-03-20,140.399994,141.5,140.229996,141.460007,21542000,141.460007
2017-03-21,142.110001,142.800003,139.729996,139.839996,39529900,139.839996
2017-03-22,139.850006,141.600006,139.759995,141.419998,25860200,141.419998
2017-03-23,141.259995,141.580002,140.610001,140.919998,20346300,140.919998
2017-03-24,141.5,141.740005,140.350006,140.639999,22395600,140.639999
2017-03-27,139.389999,141.220001,138.619995,140.880005,23575100,140.880005
2017-03-28,140.910004,144.039993,140.619995,143.800003,33374800,143.800003
2017-03-29,143.679993,144.490005,143.190002,144.119995,29190000,144.119995
2017-03-30,144.190002,144.5,143.5,143.929993,21207300,143.929993
2017-03-31,143.720001,144.270004,143.009995,143.660004,19661700,143.660004
2017-04-03,143.710007,144.119995,143.050003,143.699997,19985700,143.699997
2017-04-04,143.25,144.889999,143.169998,144.770004,19765700,144.770004
2017-04-05,144.220001,145.460007,143.809998,144.020004,27481500,144.020004
2017-04-06,144.289993,144.520004,143.449997,143.660004,21118000,143.660004
2017-04-07,143.729996,144.179993,143.270004,143.339996,16621300,143.339996
